age,education_level,years_experience,job_role,industry,certifications,hours_per_week,location,performance_score,communication_skill,leadership_skill,salary
26,bachelor,34,researcher,education,4,60,remote,52.0,84,68,84000.0
46,none,2,analyst,healthcare,3,45,rural,25.0,88,44,29900.0
47,master,14,consultant,freelance,6,68,rural,94.0,41,55,77800.0
61,master,9,,manufacturing,2,13,rural,24.0,66,44,46100.0
47,none,25,sales,IT,5,18,urban,67.0,97,41,46700.0
43,high_school,16,sales,freelance,1,67,remote,58.0,44,81,28900.0
46,bachelor,39,analyst,education,3,69,remote,25.0,14,87,76800.0
36,master,8,analyst,law,2,11,remote,71.0,78,68,44000.0
46,none,1,developer,marketing,1,48,rural,66.0,95,61,8500.0
30,high_school,0,analyst,healthcare,4,48,urban,33.0,26,16,29000.0
40,bachelor,3,researcher,law,6,64,suburban,53.0,15,47,51800.0
57,bachelor,3,analyst,IT,1,36,rural,65.0,34,88,21300.0
37,none,23,designer,IT,6,11,remote,26.0,80,28,52800.0
38,bachelor,10,consultant,freelance,4,66,rural,68.0,57,100,65700.0
37,high_school,28,designer,education,2,32,urban,27.0,59,87,46000.0
23,none,11,developer,law,4,33,rural,80.0,99,93,15900.0
20,bachelor,23,intern,finance,3,53,suburban,10.0,31,84,55500.0
21,none,31,intern,manufacturing,0,19,rural,16.0,22,69,54700.0
63,none,14,manager,healthcare,3,25,suburban,1.0,33,52,81600.0
60,high_school,2,manager,manufacturing,5,24,suburban,58.0,13,79,56600.0
29,phd,21,,law,5,61,urban,56.0,52,96,84100.0
18,master,21,manager,education,4,16,urban,50.0,20,33,93600.0
35,none,8,sales,freelance,1,11,remote,28.0,63,89,19200.0
57,master,19,researcher,marketing,3,33,urban,3.0,19,72,80300.0
44,high_school,28,analyst,IT,3,27,remote,40.0,99,63,58700.0
43,high_school,27,consultant,education,2,55,urban,66.0,21,72,46400.0
33,high_school,7,analyst,,4,38,urban,1.0,95,58,32300.0
39,master,9,developer,healthcare,7,12,urban,68.0,35,59,56400.0
31,phd,36,manager,IT,7,29,rural,67.0,6,4,147500.0
52,none,21,intern,education,5,64,urban,65.0,46,84,52900.0
38,high_school,10,designer,manufacturing,5,31,suburban,75.0,22,100,36200.0
37,master,34,,education,4,42,suburban,3.0,43,28,77100.0
51,master,24,consultant,finance,1,23,rural,21.0,34,99,71700.0
38,master,24,consultant,IT,3,63,suburban,96.0,37,74,78300.0
55,master,39,intern,finance,6,28,urban,51.0,77,100,74700.0
42,master,8,consultant,manufacturing,0,17,rural,67.0,71,81,49500.0
43,high_school,33,manager,IT,4,17,rural,36.0,96,53,83300.0
49,high_school,23,support,freelance,0,68,suburban,66.0,44,54,41200.0
64,high_school,0,analyst,marketing,1,27,urban,80.0,28,2,12200.0
62,,30,analyst,manufacturing,5,14,remote,65.0,84,41,72200.0
21,high_school,31,intern,manufacturing,6,65,suburban,88.0,97,60,73700.0
27,master,15,,finance,4,64,rural,2.0,93,56,52200.0
45,phd,11,consultant,freelance,1,60,suburban,2.0,34,69,68300.0
33,bachelor,23,support,finance,3,60,urban,67.0,73,17,44700.0
61,bachelor,16,developer,marketing,4,27,remote,13.0,9,86,49300.0
21,none,11,designer,education,1,17,suburban,39.0,97,31,42800.0
33,high_school,34,designer,freelance,4,28,remote,99.0,17,0,52800.0
33,master,37,researcher,finance,4,58,suburban,50.0,79,26,109800.0
51,master,6,sales,IT,0,45,urban,18.0,33,40,45000.0
18,master,39,consultant,healthcare,2,28,urban,22.0,67,22,95900.0
31,none,16,developer,marketing,5,23,urban,91.0,5,61,43100.0
64,bachelor,16,support,manufacturing,4,35,urban,36.0,37,65,56700.0
28,high_school,34,,manufacturing,5,66,remote,68.0,38,1,81700.0
49,master,6,support,education,0,45,remote,66.0,66,24,28200.0
20,,36,,healthcare,5,24,urban,99.0,77,44,89000.0
57,master,24,sales,law,7,16,rural,55.0,90,9,91600.0
30,none,13,,marketing,0,50,rural,60.0,74,94,24500.0
59,none,30,researcher,manufacturing,0,61,suburban,,56,33,61200.0
21,phd,31,analyst,law,6,47,suburban,38.0,41,28,88500.0
32,high_school,36,consultant,education,0,31,rural,83.0,55,71,51700.0
60,,13,designer,manufacturing,5,68,rural,67.0,89,2,35100.0
42,master,8,designer,finance,5,40,rural,34.0,2,55,64000.0
64,none,34,developer,freelance,5,54,urban,7.0,36,20,68100.0
39,none,27,sales,IT,5,10,urban,91.0,84,1,52000.0
53,phd,9,developer,marketing,4,29,remote,23.0,19,55,82100.0
23,bachelor,19,sales,IT,7,12,suburban,96.0,40,18,69600.0
38,phd,26,support,law,1,30,urban,65.0,3,93,94000.0
56,,2,sales,healthcare,7,34,rural,3.0,61,68,55900.0
29,bachelor,11,researcher,marketing,6,55,remote,75.0,40,79,50700.0
58,high_school,35,support,freelance,4,14,rural,94.0,62,57,69600.0
28,bachelor,3,researcher,,3,55,remote,51.0,50,96,32600.0
33,high_school,33,consultant,healthcare,3,16,remote,73.0,71,96,61400.0
49,phd,18,manager,IT,5,22,suburban,29.0,83,84,124100.0
43,none,36,sales,finance,4,47,suburban,19.0,33,60,77100.0
52,phd,29,manager,manufacturing,1,44,remote,1.0,73,19,102000.0
19,phd,30,intern,manufacturing,0,12,suburban,75.0,28,37,106800.0
52,master,14,analyst,healthcare,1,52,suburban,88.0,69,1,67300.0
45,bachelor,19,consultant,marketing,2,28,rural,86.0,95,17,41000.0
45,,15,developer,IT,6,48,remote,63.0,26,40,43800.0
56,master,25,developer,,2,42,suburban,62.0,99,37,62500.0
64,bachelor,26,support,,4,31,urban,1.0,6,55,54800.0
21,bachelor,15,intern,marketing,7,27,rural,31.0,42,94,62800.0
30,master,32,researcher,freelance,3,64,urban,99.0,5,17,91500.0
37,none,38,designer,finance,2,12,urban,78.0,2,37,65800.0
53,none,11,intern,IT,5,42,urban,60.0,45,53,32900.0
59,none,28,manager,finance,6,32,suburban,9.0,30,92,96600.0
32,master,1,analyst,healthcare,3,17,urban,51.0,44,95,50100.0
42,none,7,designer,law,2,63,urban,36.0,27,66,34300.0
19,bachelor,28,support,,1,23,suburban,51.0,100,60,53000.0
61,phd,13,intern,education,0,31,urban,,74,74,61900.0
40,high_school,18,analyst,finance,3,24,rural,79.0,11,63,41800.0
36,bachelor,33,sales,healthcare,5,11,suburban,91.0,29,46,82100.0
39,none,35,analyst,healthcare,4,53,remote,22.0,5,24,55700.0
62,phd,38,manager,law,4,56,urban,93.0,64,87,119600.0
23,bachelor,31,support,IT,5,69,urban,,91,66,73100.0
18,phd,9,developer,marketing,3,62,rural,27.0,76,54,75700.0
54,none,0,manager,freelance,1,17,suburban,73.0,61,76,89600.0
19,master,3,consultant,manufacturing,2,11,rural,16.0,100,13,50600.0
62,bachelor,11,manager,finance,7,50,suburban,50.0,75,78,87400.0
34,master,10,designer,manufacturing,5,51,remote,21.0,98,29,66400.0
30,none,28,designer,manufacturing,4,19,rural,29.0,40,43,39200.0
37,high_school,38,researcher,healthcare,7,61,urban,99.0,75,89,85500.0
53,phd,36,sales,finance,4,40,suburban,62.0,5,95,297400.0
56,none,34,researcher,healthcare,2,22,remote,7.0,27,43,79600.0
37,none,33,intern,,3,48,urban,93.0,40,9,70300.0
57,none,0,analyst,healthcare,7,36,rural,42.0,31,37,21500.0
54,bachelor,31,designer,finance,7,61,urban,19.0,25,53,69300.0
51,master,3,developer,freelance,3,58,remote,50.0,4,20,53200.0
55,phd,35,consultant,education,4,44,remote,62.0,14,73,99800.0
48,high_school,7,sales,IT,5,10,suburban,,15,9,24900.0
41,phd,3,manager,education,3,33,suburban,11.0,99,17,83900.0
26,high_school,12,researcher,finance,1,65,suburban,78.0,62,7,48300.0
62,bachelor,16,manager,law,4,30,rural,61.0,8,28,80800.0
40,high_school,8,consultant,freelance,5,60,rural,73.0,85,3,48700.0
48,high_school,27,consultant,manufacturing,2,34,rural,91.0,3,59,43700.0
60,,14,sales,IT,3,41,suburban,87.0,16,56,74600.0
62,high_school,16,researcher,healthcare,2,12,suburban,96.0,11,84,56900.0
49,bachelor,16,analyst,finance,7,63,remote,47.0,5,31,53200.0
51,master,12,,,2,13,urban,67.0,63,32,38200.0
41,high_school,38,support,manufacturing,5,42,remote,54.0,23,67,73700.0
33,master,1,analyst,marketing,6,34,suburban,73.0,75,67,59100.0
19,master,24,manager,finance,7,60,suburban,10.0,21,47,106600.0
64,none,5,manager,IT,1,48,urban,56.0,64,66,57700.0
47,none,22,sales,law,0,26,rural,78.0,12,45,51800.0
47,master,27,support,marketing,1,49,urban,1.0,56,7,59000.0
57,high_school,8,sales,finance,0,30,remote,92.0,10,24,32100.0
41,bachelor,1,consultant,healthcare,0,17,rural,23.0,33,11,31000.0
38,master,4,intern,healthcare,4,56,remote,60.0,29,88,46200.0
36,high_school,30,developer,law,2,15,remote,61.0,93,48,63000.0
21,phd,22,consultant,freelance,7,30,rural,60.0,2,72,98900.0
64,high_school,9,consultant,finance,7,30,remote,40.0,64,89,51000.0
28,none,22,support,education,0,61,urban,45.0,78,31,37800.0
21,none,12,manager,law,0,61,remote,,28,88,62100.0
21,phd,5,consultant,manufacturing,2,15,rural,54.0,60,37,57800.0
20,phd,21,developer,,0,41,remote,34.0,38,8,63900.0
62,high_school,34,developer,education,7,16,urban,56.0,35,21,71400.0
43,high_school,38,manager,freelance,0,60,remote,0.0,18,51,80900.0
64,high_school,22,analyst,law,4,37,urban,,74,51,49500.0
58,phd,22,sales,marketing,6,61,rural,81.0,7,31,80100.0
50,high_school,0,researcher,healthcare,1,53,urban,70.0,0,59,36700.0
28,none,18,consultant,manufacturing,5,61,remote,6.0,8,3,42500.0
51,none,12,researcher,IT,6,53,suburban,34.0,21,68,61100.0
18,bachelor,4,designer,education,5,34,urban,31.0,6,3,35100.0
56,bachelor,17,sales,,4,60,urban,6.0,92,98,56900.0
20,high_school,31,sales,marketing,0,32,remote,45.0,26,17,44200.0
55,master,24,researcher,education,2,55,urban,6.0,90,39,92400.0
63,master,16,developer,finance,5,26,remote,22.0,30,63,44600.0
50,phd,19,researcher,finance,3,38,urban,23.0,24,41,94900.0
48,none,1,intern,manufacturing,0,17,remote,85.0,78,19,16200.0
64,bachelor,22,designer,manufacturing,4,27,suburban,23.0,21,3,68000.0
56,bachelor,24,developer,freelance,6,57,urban,52.0,13,6,45900.0
33,master,37,consultant,healthcare,4,66,rural,59.0,89,18,74100.0
33,phd,8,manager,finance,4,54,suburban,66.0,66,84,85600.0
62,high_school,17,intern,education,2,23,rural,13.0,27,97,30200.0
56,phd,2,support,healthcare,5,14,urban,92.0,13,50,62000.0
53,phd,19,sales,,7,21,urban,44.0,36,59,94700.0
39,high_school,22,sales,marketing,0,69,remote,90.0,86,1,47600.0
22,phd,1,consultant,education,4,54,remote,41.0,61,15,40900.0
27,master,4,manager,freelance,7,54,rural,90.0,32,46,84000.0
28,master,10,manager,marketing,0,55,rural,90.0,34,38,66100.0
36,bachelor,32,researcher,healthcare,7,62,urban,92.0,16,11,79400.0
30,bachelor,22,designer,IT,0,47,remote,4.0,75,57,47800.0
55,phd,19,analyst,law,4,40,rural,64.0,60,97,103200.0
18,none,16,intern,law,0,48,remote,53.0,23,98,39200.0
20,phd,18,developer,freelance,6,62,suburban,69.0,84,98,73300.0
37,bachelor,11,analyst,marketing,2,33,urban,94.0,94,11,43000.0
57,high_school,27,analyst,manufacturing,0,48,remote,72.0,6,86,44100.0
35,,13,sales,marketing,2,55,rural,54.0,53,92,23400.0
60,bachelor,5,intern,law,1,18,suburban,69.0,84,15,46100.0
64,master,35,consultant,healthcare,0,66,rural,76.0,24,58,66300.0
37,phd,38,designer,healthcare,2,31,urban,44.0,93,55,90400.0
60,none,12,researcher,freelance,2,21,urban,2.0,100,4,38100.0
46,none,31,support,,2,14,urban,,31,25,59400.0
31,phd,34,support,IT,6,34,rural,12.0,77,99,102500.0
39,none,17,support,education,3,50,urban,62.0,51,96,39100.0
54,high_school,18,intern,law,5,45,rural,84.0,71,27,41700.0
34,phd,34,developer,education,5,45,suburban,42.0,20,96,79000.0
47,none,0,intern,manufacturing,3,55,urban,47.0,100,31,25800.0
62,phd,19,designer,finance,6,31,remote,83.0,61,86,89300.0
49,none,19,support,manufacturing,6,22,remote,17.0,44,59,48600.0
56,phd,4,designer,manufacturing,3,66,urban,51.0,85,48,48700.0
22,master,29,developer,manufacturing,1,21,urban,62.0,34,24,61300.0
25,none,19,intern,manufacturing,3,31,suburban,80.0,90,37,47100.0
44,bachelor,16,researcher,IT,2,68,rural,,61,61,61500.0
52,high_school,34,intern,marketing,7,65,suburban,74.0,84,90,49100.0
43,none,5,manager,manufacturing,2,16,suburban,75.0,95,76,48700.0
49,bachelor,24,analyst,marketing,4,68,urban,98.0,85,100,60800.0
52,phd,27,support,law,4,21,suburban,55.0,79,6,78900.0
51,phd,38,support,IT,3,48,suburban,8.0,74,22,88000.0
50,none,30,sales,manufacturing,0,30,suburban,80.0,1,71,55500.0
55,bachelor,31,intern,freelance,1,27,remote,100.0,86,32,57500.0
37,bachelor,9,sales,marketing,5,52,rural,,5,87,51500.0
50,bachelor,7,developer,law,4,54,urban,0.0,38,29,43000.0
46,phd,37,designer,manufacturing,7,37,rural,8.0,97,64,108200.0
59,phd,36,sales,education,6,50,urban,24.0,55,4,130700.0
43,bachelor,25,support,IT,0,50,suburban,64.0,42,46,51200.0
50,phd,22,intern,education,0,28,suburban,42.0,0,42,78500.0
25,high_school,35,developer,manufacturing,2,26,remote,52.0,29,11,63000.0
36,none,18,designer,law,3,14,suburban,95.0,45,39,36300.0
47,master,7,intern,finance,7,61,remote,87.0,38,68,72200.0
25,phd,8,developer,finance,1,25,remote,51.0,60,93,48200.0
31,none,28,manager,,6,46,urban,61.0,49,34,78900.0
18,high_school,4,developer,finance,2,23,remote,63.0,12,6,8700.0
47,master,7,manager,IT,3,27,rural,39.0,43,40,82700.0
30,bachelor,17,analyst,marketing,2,38,remote,5.0,11,94,35300.0
45,high_school,4,support,education,5,54,remote,53.0,9,68,28400.0
29,phd,25,intern,education,5,64,rural,91.0,87,56,94100.0
40,master,21,designer,freelance,6,41,urban,19.0,35,29,65100.0
60,master,30,support,finance,0,63,rural,92.0,3,7,63800.0
59,high_school,10,manager,manufacturing,0,39,remote,46.0,50,82,44800.0
48,master,18,manager,education,7,62,remote,26.0,33,6,85900.0
25,phd,29,developer,manufacturing,7,14,rural,28.0,46,70,90400.0
26,,18,developer,law,7,59,urban,68.0,38,16,86900.0
22,high_school,8,researcher,IT,7,52,rural,67.0,94,11,57400.0
41,master,31,support,education,4,36,rural,15.0,73,32,66200.0
28,master,32,intern,law,0,65,remote,25.0,8,0,83600.0
51,high_school,27,analyst,education,6,67,rural,35.0,81,75,58000.0
37,bachelor,13,support,IT,2,47,rural,44.0,75,28,44800.0
29,master,37,designer,manufacturing,7,69,remote,41.0,23,85,114000.0
64,master,8,researcher,healthcare,4,26,suburban,88.0,1,70,67300.0
59,none,18,support,finance,1,17,urban,55.0,28,41,35800.0
25,none,2,analyst,law,7,62,urban,19.0,5,53,31500.0
25,high_school,38,designer,,3,18,remote,33.0,57,83,64700.0
34,master,29,support,freelance,7,49,suburban,48.0,59,8,65300.0
56,phd,3,sales,marketing,7,16,rural,87.0,8,16,66800.0
45,phd,22,analyst,manufacturing,1,15,suburban,40.0,20,0,63700.0
53,,13,developer,IT,3,57,urban,64.0,77,36,41600.0
19,bachelor,9,researcher,IT,1,25,rural,96.0,91,14,48300.0
52,high_school,17,sales,IT,6,21,rural,70.0,14,57,51200.0
18,bachelor,4,analyst,healthcare,6,18,suburban,58.0,0,77,30900.0
53,bachelor,16,support,finance,0,34,remote,64.0,48,16,41500.0
53,bachelor,6,manager,finance,3,30,suburban,66.0,47,38,66700.0
20,none,35,manager,IT,4,29,suburban,54.0,58,88,80000.0
41,none,39,researcher,freelance,0,11,rural,65.0,56,41,82500.0
23,master,18,,education,0,42,urban,,22,53,47300.0
56,master,24,,law,0,64,urban,65.0,30,54,65600.0
23,,11,developer,marketing,4,27,remote,100.0,31,0,52400.0
30,phd,10,analyst,manufacturing,5,49,urban,76.0,15,59,59600.0
38,none,0,designer,finance,2,47,remote,1.0,16,3,15800.0
37,master,14,manager,manufacturing,7,66,remote,83.0,38,12,93600.0
29,none,31,intern,finance,1,34,remote,76.0,35,16,63600.0
57,high_school,7,consultant,healthcare,5,23,urban,27.0,37,23,30000.0
47,phd,37,support,marketing,1,28,urban,15.0,97,54,84400.0
63,phd,14,consultant,finance,1,49,remote,99.0,99,71,74000.0
41,master,26,analyst,,2,66,suburban,,33,68,44900.0
51,master,18,developer,IT,3,63,suburban,49.0,58,92,54000.0
59,none,10,researcher,healthcare,5,29,remote,97.0,91,36,56400.0
24,phd,2,analyst,freelance,4,31,remote,,88,30,63900.0
51,none,3,manager,,4,68,rural,45.0,74,20,62600.0
32,,36,intern,healthcare,2,44,remote,34.0,55,3,81400.0
43,phd,33,researcher,education,3,24,rural,30.0,26,44,97300.0
32,none,8,analyst,freelance,1,66,urban,73.0,30,97,36000.0
24,none,2,intern,finance,4,59,rural,87.0,18,63,28300.0
64,none,26,researcher,finance,2,12,remote,90.0,81,10,57600.0
39,high_school,8,researcher,law,6,59,remote,33.0,25,19,60100.0
61,master,2,sales,marketing,1,60,remote,,5,72,40800.0
45,phd,2,analyst,,1,52,rural,1.0,32,11,55400.0
19,bachelor,10,designer,freelance,4,53,urban,14.0,66,99,52700.0
23,none,0,sales,marketing,4,47,rural,77.0,91,60,27700.0
58,,34,intern,healthcare,7,14,urban,92.0,16,14,86000.0
63,high_school,32,designer,IT,7,57,remote,,31,75,81000.0
60,none,33,analyst,law,4,30,remote,61.0,58,41,72300.0
34,phd,15,designer,law,5,20,rural,42.0,15,40,94900.0
47,phd,34,manager,manufacturing,3,23,rural,87.0,8,13,117000.0
53,high_school,6,consultant,freelance,2,39,rural,84.0,59,16,25800.0
58,high_school,18,support,freelance,0,15,remote,43.0,72,67,36600.0
41,none,34,researcher,marketing,6,44,remote,84.0,7,92,72900.0
58,master,32,sales,law,1,55,rural,83.0,68,67,60200.0
28,phd,23,support,IT,3,35,rural,34.0,29,98,75200.0
62,bachelor,23,researcher,marketing,6,64,suburban,85.0,76,98,85200.0
54,none,29,support,education,3,65,remote,25.0,46,57,59800.0
57,high_school,0,analyst,finance,1,59,suburban,,45,57,2900.0
31,high_school,13,support,IT,4,68,remote,68.0,90,84,38600.0
39,phd,22,support,,0,16,rural,18.0,36,60,98200.0
21,master,23,intern,marketing,5,36,remote,19.0,4,25,75100.0
63,high_school,3,designer,IT,5,62,rural,53.0,31,17,31300.0
37,phd,10,support,education,1,45,suburban,15.0,69,100,55500.0
24,master,11,analyst,healthcare,4,31,urban,67.0,8,84,49000.0
48,master,32,manager,manufacturing,4,52,remote,18.0,99,47,116200.0
57,phd,29,developer,freelance,1,52,urban,95.0,35,91,84000.0
64,master,18,intern,healthcare,1,36,rural,14.0,4,98,59900.0
57,bachelor,13,manager,marketing,7,65,rural,97.0,80,36,68400.0
56,none,39,support,education,2,35,remote,94.0,55,58,80400.0
49,phd,34,sales,freelance,1,27,remote,81.0,52,33,78500.0
31,bachelor,27,consultant,healthcare,5,69,rural,24.0,13,56,68200.0
28,none,20,support,education,6,16,remote,54.0,49,94,36800.0
30,high_school,36,,,3,10,rural,55.0,4,18,59400.0
63,phd,30,sales,marketing,4,27,suburban,13.0,29,90,95300.0
63,bachelor,8,manager,finance,5,29,remote,14.0,44,25,76100.0
37,master,28,manager,law,0,66,rural,28.0,86,85,93600.0
40,bachelor,39,researcher,law,1,35,suburban,51.0,96,79,93300.0
30,bachelor,18,designer,law,5,39,rural,70.0,9,19,63200.0
29,bachelor,0,,law,2,10,remote,31.0,27,16,23000.0
33,phd,34,analyst,manufacturing,1,27,rural,86.0,63,74,92200.0
24,high_school,16,sales,IT,5,50,urban,21.0,92,33,49700.0
59,phd,20,designer,manufacturing,7,17,rural,74.0,35,37,81400.0
46,none,29,support,finance,7,45,remote,30.0,72,7,71900.0
23,none,39,sales,education,0,14,remote,100.0,63,28,66500.0
37,master,39,designer,freelance,5,29,remote,,61,74,93800.0
28,master,1,intern,freelance,6,30,remote,29.0,42,26,48000.0
45,bachelor,9,support,healthcare,6,34,remote,67.0,2,93,31100.0
44,bachelor,1,sales,law,1,40,urban,88.0,78,2,26000.0
46,none,6,manager,manufacturing,6,21,remote,0.0,52,42,71800.0
64,bachelor,27,,finance,6,43,remote,36.0,51,32,72500.0
32,bachelor,14,designer,marketing,5,16,suburban,67.0,55,5,40300.0
40,bachelor,32,researcher,manufacturing,0,12,urban,75.0,100,70,66300.0
38,none,2,,law,6,33,remote,32.0,10,87,30000.0
64,none,13,sales,manufacturing,1,60,urban,4.0,46,62,31300.0
53,,39,intern,manufacturing,6,22,remote,63.0,71,58,70300.0
28,bachelor,14,manager,finance,0,51,suburban,92.0,1,96,65900.0
24,bachelor,29,,freelance,7,27,rural,72.0,68,99,73500.0
63,master,18,consultant,IT,6,39,urban,97.0,25,99,70600.0
31,bachelor,39,analyst,law,1,24,urban,6.0,78,64,54400.0
64,phd,23,manager,marketing,3,65,urban,,32,52,107700.0
46,none,4,analyst,manufacturing,5,26,suburban,8.0,17,10,25600.0
29,master,7,sales,healthcare,6,22,urban,92.0,22,88,52300.0
32,high_school,6,sales,finance,6,29,remote,3.0,3,55,42700.0
35,bachelor,12,support,IT,5,13,rural,81.0,21,48,58500.0
49,phd,2,manager,,1,24,remote,36.0,90,70,70000.0
46,phd,19,sales,freelance,1,63,urban,63.0,70,36,72300.0
34,master,27,analyst,marketing,4,27,urban,76.0,21,58,66800.0
32,bachelor,34,manager,marketing,7,56,rural,71.0,39,3,101400.0
43,none,12,manager,IT,0,52,suburban,32.0,31,52,46700.0
49,phd,0,support,marketing,1,39,urban,65.0,16,16,53400.0
37,phd,24,analyst,freelance,7,10,rural,13.0,6,92,89400.0
47,high_school,29,analyst,finance,4,59,rural,83.0,89,53,69800.0
26,high_school,30,consultant,,0,25,urban,70.0,92,70,55300.0
28,high_school,39,researcher,freelance,3,55,urban,98.0,85,52,80900.0
41,high_school,23,manager,education,3,38,suburban,95.0,76,31,82000.0
51,master,28,manager,finance,4,53,rural,3.0,16,15,99700.0
55,master,24,manager,education,0,48,urban,75.0,2,43,87300.0
64,phd,7,developer,marketing,1,41,urban,28.0,38,23,52200.0
45,high_school,11,sales,marketing,5,58,suburban,60.0,35,54,42500.0
36,high_school,10,sales,education,6,37,rural,87.0,80,31,44200.0
46,none,6,intern,finance,0,15,urban,31.0,48,5,27700.0
28,none,14,researcher,manufacturing,6,40,suburban,58.0,3,25,65100.0
25,bachelor,0,intern,education,5,57,suburban,70.0,29,32,22300.0
59,bachelor,28,consultant,manufacturing,4,54,remote,23.0,73,70,68800.0
30,,9,researcher,law,3,27,rural,100.0,26,59,46100.0
38,bachelor,23,intern,finance,3,48,urban,100.0,95,53,56900.0
25,phd,7,analyst,manufacturing,0,20,urban,46.0,85,70,52900.0
55,bachelor,17,sales,IT,4,13,rural,99.0,39,60,41500.0
21,bachelor,31,sales,education,1,12,suburban,87.0,79,70,48100.0
24,none,33,analyst,freelance,7,46,urban,89.0,66,88,67200.0
50,bachelor,5,sales,marketing,2,37,remote,50.0,58,18,48400.0
43,bachelor,25,support,finance,4,42,suburban,66.0,17,43,69400.0
54,phd,34,analyst,law,7,20,suburban,2.0,47,23,106500.0
47,none,24,developer,IT,5,42,rural,87.0,91,31,61300.0
59,none,20,designer,IT,2,43,urban,29.0,67,94,36000.0
35,high_school,37,intern,manufacturing,3,34,rural,60.0,20,73,64500.0
20,master,19,developer,marketing,3,43,rural,4.0,16,50,63200.0
63,none,7,support,IT,5,57,rural,,67,83,41600.0
37,bachelor,14,consultant,freelance,5,41,rural,20.0,46,51,51000.0
25,none,1,consultant,education,0,46,remote,68.0,33,92,18600.0
57,high_school,31,sales,freelance,6,24,remote,70.0,57,47,54600.0
