Age,Gender,Education,Marital_Status,Job_Type,Region,Income,Expenses,Savings,Credit_Score,Years_of_Experience,Loan_Amount,Loan_Approval,Default_Risk,Future_Income
67,Female,Bachelor,Divorced,Healthcare,North,52763,40214,8797,371,46,160153,0,0,65104
26,Male,High School,Single,IT,West,42814,24598,14667,373,7,11846,0,0,53587
43,Female,Bachelor,Single,Finance,East,23397,13839,10375,802,26,249531,0,0,24490
19,Female,PhD,Divorced,Finance,West,39644,19854,19449,445,1,336829,0,0,56144
37,Male,Bachelor,Divorced,Healthcare,East,50061,38774,18410,345,16,252511,0,0,53430
45,Female,High School,Married,Unemployed,East,61897,42621,25686,404,24,237796,0,0,69116
64,Male,Master,Divorced,Finance,North,49751,22024,28609,408,46,297069,0,0,50496
24,Male,High School,Divorced,Construction,South,53780,38834,32462,616,8,321133,1,0,51717
61,Male,Bachelor,Married,Education,North,44358,22897,22277,420,41,380477,0,0,43031
25,Female,Bachelor,Married,Education,East,76238,54459,23261,798,11,253243,1,0,84671
64,Female,Bachelor,Divorced,Finance,South,34726,24705,5633,342,50,73748,0,0,43329
52,Female,Bachelor,Divorced,Finance,South,39511,15584,25524,398,35,250023,0,0,47030
31,Female,Master,Divorced,Finance,North,42614,27723,18378,610,13,467674,1,0,54543
34,Female,High School,Widowed,Education,North,58140,25890,28328,513,20,363224,0,0,59505
53,Female,Bachelor,Widowed,Finance,West,34417,15444,18479,762,34,364745,0,0,35518
67,Female,High School,Single,Construction,South,52035,23320,32350,722,48,183769,1,0,78598
57,Female,Bachelor,Single,Construction,East,52473,34778,17070,688,41,359745,1,0,57357
21,Male,High School,Divorced,Education,West,39584,16423,21490,411,3,289838,0,0,48533
19,Male,High School,Married,Unemployed,West,54949,16509,44350,571,2,142114,0,0,68100
23,Female,Bachelor,Divorced,IT,West,34882,22939,7532,401,7,144085,0,0,40009
59,Male,High School,Divorced,IT,West,33243,12818,16985,509,43,36285,0,0,35136
21,Male,Bachelor,Single,IT,North,51494,18138,36242,321,5,47446,0,0,49672
46,Female,Bachelor,Divorced,Construction,South,25103,10512,20821,458,32,319823,0,0,22655
35,Other,Bachelor,Divorced,Healthcare,West,17827,8734,12620,642,21,357328,0,0,18349
43,Female,High School,Single,IT,South,57992,31196,27676,699,22,456284,1,0,61569
61,Male,High School,Single,Healthcare,East,65734,21185,45022,753,40,8754,1,0,76385
51,Female,Bachelor,Married,Education,South,42997,33764,16285,442,31,278331,0,0,43165
27,Female,Master,Married,Construction,North,39978,26306,19967,696,13,435349,0,0,43720
53,Female,Bachelor,Married,Unemployed,South,65083,30042,37290,835,36,259170,1,1,76057
31,Male,PhD,Widowed,IT,East,32816,15073,18354,440,12,381455,0,0,31929
48,Female,PhD,Widowed,Construction,East,29549,15491,16234,539,29,71082,0,0,33633
65,Male,High School,Divorced,Education,West,60614,37163,21815,591,45,434713,0,0,57641
32,Female,High School,Married,Construction,East,50135,18709,32675,381,13,110654,0,0,75352
25,Female,Master,Single,Finance,West,65973,26024,39501,470,9,116693,0,0,68545
31,Female,High School,Married,IT,North,17896,13059,6332,825,17,249019,0,0,21461
40,Female,Bachelor,Divorced,Construction,North,28989,12410,16310,841,20,453252,0,0,44776
57,Other,PhD,Widowed,Unemployed,North,50214,24609,30224,409,37,446671,0,0,67594
38,Male,Bachelor,Widowed,Construction,South,56265,41390,20967,511,20,367416,0,0,62189
33,Male,High School,Divorced,Construction,East,62704,39602,23203,737,12,232207,1,0,77840
62,Male,Master,Married,Education,East,52622,24777,25785,621,45,9516,1,0,54788
35,Female,Bachelor,Divorced,IT,East,52469,33677,24350,383,18,333939,0,0,51205
64,Female,PhD,Divorced,Unemployed,West,44158,13681,33400,675,43,248521,1,0,44984
41,Female,High School,Widowed,IT,West,73863,49327,24702,352,25,28376,0,1,74753
43,Female,Bachelor,Widowed,Finance,North,33454,18182,24149,795,26,356820,0,0,42587
42,Male,Master,Widowed,Finance,East,55385,39134,15425,555,23,89853,0,0,65265
62,Male,High School,Divorced,Construction,South,35182,27347,-129,519,43,335189,0,0,48684
58,Male,High School,Married,IT,South,58021,44263,12218,399,41,49968,0,0,64206
46,Female,High School,Divorced,IT,North,34444,25992,18543,428,31,410480,0,0,29909
32,Female,Bachelor,Married,Construction,West,61157,34008,27560,518,17,394704,0,0,59047
62,Female,PhD,Married,Healthcare,West,51681,24810,26293,776,48,154018,1,0,53337
18,Male,High School,Divorced,IT,West,76169,40561,37741,757,0,429851,1,0,81064
42,Male,High School,Married,Construction,North,45784,29528,23311,321,25,211885,0,0,53687
24,Female,Bachelor,Married,Construction,North,56374,41829,16130,628,4,31365,1,0,67957
26,Male,High School,Divorced,Healthcare,East,38305,15455,27806,779,10,160531,0,0,44968
41,Male,Bachelor,Widowed,Finance,East,45681,34676,12058,638,27,331057,1,0,49831
18,Male,Bachelor,Divorced,Unemployed,East,51586,36501,20081,478,4,467421,0,0,63233
61,Female,Bachelor,Widowed,Construction,South,27091,21386,8606,720,41,101100,0,0,30853
25,Male,High School,Married,IT,South,28735,21267,7478,781,4,482617,0,1,32821
41,Male,High School,Widowed,Finance,East,58997,25956,36331,348,25,61350,0,1,63985
28,Female,Master,Widowed,Finance,South,47808,16875,30220,329,12,21588,0,0,53941
68,Male,High School,Single,Finance,South,41106,14638,21577,384,49,151112,0,0,50533
34,Male,Master,Single,Construction,West,38945,17354,23491,801,18,153197,0,0,53118
25,Female,Master,Widowed,IT,West,39522,23993,11082,845,7,264252,0,0,42834
52,Female,High School,Single,Unemployed,North,51688,36293,20382,628,35,397948,1,1,57234
52,Male,PhD,Widowed,Healthcare,West,56675,42485,16002,733,32,166831,1,0,67089
50,Male,High School,Single,Education,East,18618,11391,16343,548,31,360750,0,0,25534
22,Male,Master,Married,Education,West,71192,21558,49982,433,8,77585,0,0,82717
59,Female,Bachelor,Divorced,Finance,South,70125,27570,44454,664,45,217124,1,0,78497
56,Female,High School,Single,Education,South,15040,5261,4430,724,41,435247,0,0,20042
58,Male,PhD,Divorced,Education,East,66288,31928,30839,714,44,324133,1,0,76481
45,Male,PhD,Single,Construction,East,65828,36249,23185,811,26,271881,1,0,75423
24,Male,Bachelor,Widowed,Healthcare,West,50006,16086,41307,684,6,55257,1,0,59245
26,Male,Bachelor,Single,Education,West,30542,14484,15760,687,8,348707,0,0,37839
25,Male,PhD,Single,Unemployed,West,65228,25412,48451,748,7,241206,1,0,82095
29,Female,Bachelor,Divorced,Unemployed,North,46381,28920,6057,602,11,277159,1,0,55812
51,Female,High School,Divorced,Healthcare,North,58233,30987,36986,398,36,64991,0,0,67045
50,Male,Bachelor,Single,Education,East,83288,45613,39334,605,30,304109,1,1,95201
65,Female,Master,Divorced,Unemployed,West,53777,27633,29843,341,47,151167,0,0,63594
40,Male,Master,Single,Finance,South,36246,28199,4732,767,21,151125,0,0,35964
41,Male,PhD,Widowed,Finance,North,44964,18316,31284,739,22,381920,1,1,56846
54,Female,High School,Widowed,Unemployed,East,38158,21304,16984,626,39,486624,0,0,44927
52,Male,Bachelor,Married,Healthcare,North,56502,37743,14789,332,36,167591,0,0,69065
61,Female,High School,Divorced,Healthcare,West,37908,21926,11943,711,44,330530,0,0,44033
57,Female,Master,Single,Healthcare,South,42907,32802,5978,413,38,394727,0,1,42586
39,Other,Bachelor,Widowed,Healthcare,South,30733,15027,19607,807,20,113702,0,0,37890
44,Female,High School,Married,IT,East,48018,25537,21302,355,29,319481,0,0,50311
52,Male,Bachelor,Married,Finance,North,52651,18125,28325,651,32,421279,1,0,58075
18,Female,High School,Single,Education,West,9728,5880,7694,628,4,207914,0,0,12344
52,Male,Bachelor,Married,IT,West,53893,23934,21095,845,36,17573,1,1,55596
54,Female,Bachelor,Married,Healthcare,South,49314,18746,39213,569,35,22248,0,0,53402
64,Female,Master,Single,Education,South,38525,22046,28411,495,43,373694,0,0,33079
31,Female,Bachelor,Married,Finance,West,80429,45535,30331,712,12,386503,1,0,90787
20,Female,High School,Married,Healthcare,West,64377,21755,49884,378,6,359336,0,0,63052
18,Female,High School,Single,Construction,North,33553,21779,15519,382,1,284085,0,0,33777
22,Female,Bachelor,Single,Healthcare,East,62573,38287,23785,436,5,345698,0,0,80070
43,Female,High School,Widowed,Education,North,68667,27089,41311,838,27,411304,1,0,71454
31,Male,Master,Married,Finance,North,51980,27794,29458,605,15,353355,1,0,65018
56,Female,PhD,Widowed,Healthcare,West,55421,36586,20635,610,38,21124,1,0,62117
44,Female,Bachelor,Widowed,Finance,North,55075,31101,13002,687,24,480583,1,0,62513
26,Female,Master,Divorced,IT,North,18712,9313,21764,848,12,498341,0,0,28848
32,Other,Bachelor,Single,Construction,North,47196,21765,29596,805,15,8819,1,0,63233
32,Male,Bachelor,Divorced,Unemployed,South,46416,28090,20065,687,11,100822,1,0,44349
43,Male,High School,Single,Unemployed,East,71452,54986,14873,592,22,16164,0,1,80129
59,Female,Bachelor,Divorced,IT,East,55005,34976,21084,478,41,37701,0,0,59061
30,Male,PhD,Single,Unemployed,South,45535,15362,38518,728,10,218083,1,0,42873
68,Female,Master,Married,Construction,West,48648,25800,26156,823,48,382439,1,1,57474
49,Female,PhD,Married,IT,West,65350,48712,20514,611,33,112747,1,1,76040
56,Male,PhD,Widowed,Finance,East,47231,16400,26585,379,37,185509,0,0,51026
66,Female,High School,Divorced,Finance,East,39527,31401,8377,313,45,483057,0,0,57314
69,Other,High School,Widowed,IT,West,45864,35523,12596,353,48,213106,0,0,59645
49,Male,Bachelor,Divorced,Education,North,64110,21742,47850,746,34,168941,1,0,76457
21,Female,Bachelor,Single,IT,East,57442,44041,13321,364,0,303747,0,0,63606
47,Male,Bachelor,Single,Healthcare,North,50664,24398,32905,671,26,127857,1,0,72730
54,Female,Master,Divorced,Education,East,52873,38193,10958,802,39,9235,1,1,59932
40,Female,Master,Divorced,Finance,South,41603,21183,22767,395,23,247498,0,0,56406
56,Female,Bachelor,Married,IT,East,47090,24506,24095,832,36,391702,1,0,61651
62,Male,High School,Divorced,Education,South,40050,24715,9757,559,43,17015,0,0,41300
32,Female,High School,Married,Healthcare,North,45578,31322,16017,547,15,19601,0,0,47690
60,Female,Bachelor,Divorced,Construction,West,70192,22243,47035,426,40,274653,0,0,82485
46,Male,PhD,Married,Finance,North,33831,20182,22717,798,28,437700,0,0,36662
53,Female,Bachelor,Widowed,Education,North,39669,15604,24013,345,32,415134,0,1,45729
30,Female,Bachelor,Married,Unemployed,North,31185,14749,20190,567,11,45975,0,0,41827
49,Female,PhD,Widowed,Education,South,27936,13241,10539,841,29,308664,0,0,37306
24,Female,High School,Married,Unemployed,East,47198,25228,25152,393,10,302837,0,1,51062
68,Female,High School,Single,Education,West,40735,19026,21633,615,50,294103,1,0,46633
39,Female,Bachelor,Married,IT,North,76425,27030,47513,370,18,268053,0,1,91557
45,Male,Bachelor,Divorced,Finance,North,45757,17058,44868,748,27,473357,1,0,53703
19,Female,PhD,Widowed,Finance,North,69340,21961,47611,666,4,347185,1,0,70334
59,Female,High School,Divorced,IT,South,64520,34526,30934,709,41,370456,1,0,78215
62,Female,Bachelor,Divorced,IT,South,46865,36424,16950,390,45,136190,0,0,41598
23,Male,Bachelor,Single,Unemployed,South,81652,29218,50591,808,5,426854,1,0,104735
45,Male,Bachelor,Married,Unemployed,East,54028,41770,16274,827,28,73649,1,0,61632
45,Female,High School,Single,Unemployed,East,72695,48464,28782,409,31,376700,0,0,86781
61,Male,Master,Married,IT,North,70948,43899,30272,388,45,109457,0,0,84612
61,Male,Bachelor,Divorced,Healthcare,West,56219,35004,34696,571,44,347445,0,0,71032
37,Male,Master,Married,Education,South,61266,43704,15540,546,22,219483,0,0,80551
47,Female,Bachelor,Single,Healthcare,East,59361,20981,48068,660,32,23480,1,0,67063
28,Other,Bachelor,Widowed,Finance,East,32836,18137,19059,677,10,275088,0,0,43719
45,Female,Master,Single,IT,West,50859,32984,24422,505,25,40022,0,0,62105
42,Male,High School,Single,Education,South,66113,39232,30587,644,24,357769,1,0,86786
56,Male,High School,Single,Unemployed,East,72892,52219,32064,754,38,53707,1,0,91860
50,Female,Bachelor,Widowed,Construction,West,39190,13173,26416,366,30,496315,0,0,41594
18,Female,Bachelor,Divorced,Education,West,57932,37386,25032,342,0,191327,0,0,67704
44,Male,Bachelor,Single,Construction,South,52263,29633,31157,528,25,464985,0,0,58120
69,Female,Bachelor,Single,Education,South,48231,23612,23824,743,53,223250,1,1,54867
30,Male,High School,Single,IT,South,55340,26017,36325,533,16,33708,0,1,59497
58,Female,High School,Widowed,Construction,North,53269,32516,22659,498,37,429153,0,0,56382
20,Male,High School,Widowed,Construction,East,58121,43329,10617,796,2,63823,1,1,67153
56,Other,PhD,Widowed,Finance,West,71625,39256,27111,331,35,305543,0,0,83749
23,Female,Master,Divorced,Education,North,61761,43996,19310,563,4,391564,0,0,70005
25,Male,High School,Married,Healthcare,South,54658,27387,34225,412,10,201737,0,0,67767
44,Female,High School,Divorced,Unemployed,East,77969,27382,42192,758,23,257514,1,0,79471
26,Male,High School,Divorced,Healthcare,East,66648,22044,47606,575,7,385575,0,0,75946
54,Male,High School,Divorced,Finance,North,48614,15831,39244,445,40,154227,0,0,48730
50,Male,Master,Married,Finance,West,31743,15556,11797,656,29,265754,0,0,34610
68,Female,Bachelor,Single,Finance,North,35182,16486,17526,305,54,287982,0,0,46477
59,Male,High School,Widowed,IT,East,63998,42172,26687,639,42,159226,1,0,66394
61,Female,Bachelor,Divorced,IT,West,40545,27222,19565,793,43,311179,1,0,50787
41,Female,High School,Widowed,IT,North,34879,11350,33549,407,22,35294,0,1,37246
32,Female,Bachelor,Widowed,IT,North,38628,15859,21837,370,16,133557,0,0,44246
49,Male,Bachelor,Widowed,Finance,South,39689,17349,20262,639,31,258010,0,1,48963
49,Male,Bachelor,Single,Finance,East,62759,36011,37011,399,32,469025,0,0,56411
41,Male,High School,Widowed,IT,South,47648,17737,28136,626,26,79233,1,0,53823
58,Male,Bachelor,Widowed,IT,South,29414,10794,23156,332,37,403844,0,1,32538
69,Female,Master,Single,Construction,West,50465,38953,24427,442,51,370361,0,0,55275
66,Female,High School,Widowed,Education,West,53333,37445,21651,543,45,444065,0,1,67213
66,Male,High School,Married,Construction,East,42809,16709,32016,516,45,423630,0,0,40352
69,Female,Bachelor,Married,Education,West,67338,33890,41838,733,51,115367,1,0,84723
29,Male,Bachelor,Divorced,IT,East,43685,20873,27436,353,10,75254,0,0,54239
56,Male,High School,Married,IT,West,66625,46337,26228,450,37,286204,0,0,69546
19,Female,High School,Married,Unemployed,South,58951,32724,26514,354,1,136168,0,0,56200
20,Female,High School,Married,IT,East,63899,23254,48444,816,1,351027,1,0,71883
66,Female,Bachelor,Single,Construction,South,33521,22442,15146,747,46,239777,0,1,42473
54,Female,High School,Married,Finance,West,51474,25656,20427,334,33,363076,0,1,63074
66,Male,Master,Widowed,Education,South,49207,21230,31191,418,48,389599,0,0,44055
34,Female,Bachelor,Divorced,Unemployed,West,28669,13983,5837,496,18,16058,0,0,32424
66,Female,Bachelor,Widowed,Construction,North,66575,36541,35603,813,49,148290,1,0,86798
19,Female,Bachelor,Widowed,Unemployed,South,37738,17795,20775,721,5,415198,0,0,42841
19,Other,Bachelor,Married,IT,East,40856,17198,35185,816,4,327469,1,0,51294
45,Male,PhD,Divorced,Finance,South,34800,17373,21875,438,27,496033,0,0,41618
40,Female,Master,Widowed,Construction,South,60517,18735,48402,343,22,205571,0,0,72272
54,Male,Bachelor,Divorced,Education,East,27111,18604,5260,518,33,357684,0,0,29165
49,Female,Master,Married,Unemployed,East,59268,22846,41844,557,32,51622,0,0,64455
50,Female,Bachelor,Widowed,Unemployed,North,65667,21141,43322,812,29,421893,1,0,79401
18,Male,Bachelor,Single,Unemployed,West,58057,36392,29117,676,2,311885,1,0,67401
36,Other,High School,Widowed,IT,West,60689,41691,15406,588,21,465076,0,0,76159
19,Male,Bachelor,Widowed,Education,East,61393,43399,20543,769,5,425382,1,0,58051
61,Male,High School,Divorced,Unemployed,South,35758,19550,12418,402,47,179446,0,0,38972
43,Female,High School,Divorced,IT,West,71521,28800,45350,448,24,314052,0,0,94997
49,Male,High School,Divorced,IT,East,43098,28815,26395,383,31,488247,0,0,44476
23,Male,PhD,Married,Healthcare,East,49004,31845,22765,325,2,121455,0,0,52472
49,Female,High School,Divorced,Education,North,45010,19045,27801,474,35,370612,0,0,53590
21,Female,Bachelor,Married,Finance,South,57373,43127,3935,721,6,96628,0,0,56216
28,Female,PhD,Divorced,IT,North,41929,14766,26484,645,12,334019,1,0,46629
34,Female,Bachelor,Single,Finance,North,51003,40360,15016,601,18,53316,1,0,50576
55,Female,Bachelor,Divorced,Construction,South,31469,22976,7938,597,40,148358,0,0,29165
41,Female,Master,Married,IT,East,67469,43446,33158,434,27,68539,0,1,84770
22,Female,Bachelor,Married,Unemployed,South,60061,46209,16209,354,8,34235,0,0,68831
69,Male,High School,Widowed,IT,North,45616,30159,22849,355,49,213203,0,0,64390
51,Female,Master,Divorced,Unemployed,North,42962,16979,29007,673,33,458106,1,0,53993
23,Male,High School,Married,IT,South,59669,31092,29197,638,7,30552,1,0,64463
39,Male,Master,Widowed,Unemployed,North,39390,13225,25808,756,24,280773,0,1,52082
28,Female,High School,Single,Finance,East,51880,25671,23148,654,9,313633,1,0,44762
65,Female,Bachelor,Married,Healthcare,East,67420,45225,29678,431,51,371914,0,0,80999
33,Male,Bachelor,Divorced,Education,South,37831,18659,19031,792,12,457174,0,0,51130
50,Male,PhD,Single,IT,South,55529,25829,34311,409,29,195000,0,0,60052
26,Female,Bachelor,Married,Education,East,54735,32713,21393,425,6,100461,0,0,65028
23,Male,PhD,Divorced,Unemployed,West,48539,35729,9394,595,4,370911,0,0,53531
33,Male,Bachelor,Married,Education,West,42443,13742,33476,478,17,436474,0,0,42988
46,Female,Bachelor,Divorced,Unemployed,West,68221,33614,32873,496,31,148915,0,0,91498
20,Male,Bachelor,Widowed,Education,South,41036,15557,25476,400,0,102571,0,0,55939
37,Male,High School,Married,Unemployed,East,22819,14779,3796,482,21,291132,0,0,31853
53,Female,Master,Married,Finance,East,59608,21033,38109,308,37,383102,0,0,62793
36,Female,High School,Single,Unemployed,East,31980,20224,13876,712,18,365363,0,0,31004
43,Male,Bachelor,Widowed,Education,East,60378,26752,34188,403,26,234594,0,1,72374
20,Female,Master,Single,Construction,South,70023,27971,48143,425,5,300445,0,1,83409
36,Male,PhD,Married,Unemployed,East,59446,45665,16508,845,20,85513,1,0,64316
37,Female,Bachelor,Widowed,Finance,East,66071,20433,63074,569,16,144023,0,1,79301
49,Male,Bachelor,Divorced,Finance,North,80300,41666,42755,765,33,96607,1,0,90622
24,Female,Bachelor,Widowed,Construction,North,64501,20047,37776,417,4,342245,0,0,77401
69,Female,Master,Widowed,Healthcare,North,54958,29776,26117,391,54,295859,0,0,55431
58,Female,PhD,Divorced,Healthcare,North,74509,41018,34859,784,44,320119,1,0,89811
50,Male,Bachelor,Married,Unemployed,South,76321,35171,40081,386,34,197365,0,0,99423
57,Female,Bachelor,Married,IT,West,76531,28016,50878,533,42,185288,0,0,80938
56,Male,High School,Single,Healthcare,North,42617,20805,20595,423,42,42109,0,0,49968
35,Male,High School,Married,IT,North,29689,18886,14467,502,21,436066,0,1,30506
57,Male,Master,Married,Education,North,41702,28824,5334,331,36,182736,0,0,40397
18,Female,PhD,Divorced,IT,South,60554,34235,34039,656,0,344014,1,0,67288
28,Male,Bachelor,Single,Healthcare,West,52387,31165,15330,762,8,381516,1,0,68532
45,Other,PhD,Widowed,IT,East,46902,18775,28809,393,24,227908,0,0,47710
42,Male,Bachelor,Single,Finance,North,58407,25913,30830,821,23,130085,1,0,64102
67,Female,Bachelor,Married,Healthcare,West,27937,10642,20824,707,48,24369,0,0,26983
40,Male,Bachelor,Single,IT,East,52117,22131,31069,399,23,239970,0,0,56057
48,Male,Bachelor,Widowed,Healthcare,North,66776,27541,42493,543,33,226009,0,0,75083
47,Male,Bachelor,Divorced,Construction,South,58239,32597,33197,357,28,115150,0,0,71129
59,Other,Bachelor,Married,Healthcare,South,60377,35099,31121,656,39,327360,1,0,73993
52,Male,Bachelor,Married,Construction,South,73960,57132,19009,790,36,381030,1,0,91899
24,Female,Bachelor,Widowed,IT,East,49007,19494,33810,619,5,418855,1,0,57906
33,Male,Master,Divorced,Construction,South,40203,24959,27044,318,16,331449,0,1,47279
43,Female,Master,Single,Healthcare,West,67842,48074,25789,656,28,218996,1,0,73611
65,Male,Bachelor,Widowed,Finance,East,67566,39196,28902,416,47,285650,0,0,76215
69,Male,Bachelor,Single,Construction,South,58374,24954,41809,435,51,199697,0,0,75275
66,Female,High School,Divorced,Healthcare,West,47594,20526,31024,595,52,214374,0,0,66576
19,Male,High School,Divorced,Finance,West,50020,15987,31219,824,0,339376,1,0,66305
18,Female,Bachelor,Divorced,Education,North,30848,13965,17979,400,1,460982,0,1,32197
65,Male,High School,Divorced,Unemployed,North,66694,44838,16494,679,46,271125,1,0,81496
29,Female,Bachelor,Single,Construction,West,66164,21421,35317,454,12,263434,0,1,74313
22,Male,Bachelor,Widowed,Construction,North,30324,12422,15156,404,1,349535,0,0,40552
54,Male,High School,Widowed,IT,North,63014,41155,24471,825,37,24789,1,1,63275
49,Female,Bachelor,Single,Education,East,56061,38756,19932,427,35,398524,0,1,57729
26,Male,High School,Divorced,IT,South,34670,18293,11319,700,7,98046,0,1,44973
58,Female,High School,Divorced,IT,East,31909,20710,1305,828,38,362052,0,0,39192
52,Female,High School,Married,Healthcare,East,55602,27466,37489,849,31,471459,1,0,68898
36,Female,High School,Married,IT,North,44034,16731,29779,423,19,217130,0,0,55052
65,Male,Bachelor,Single,Construction,South,77299,38577,48500,659,47,171887,1,0,76483
33,Female,Bachelor,Widowed,IT,East,64288,37928,35852,363,19,31497,0,0,69242
20,Male,Bachelor,Married,Finance,East,57105,44200,18578,401,1,101060,0,0,61652
37,Male,High School,Married,Construction,East,57846,19342,40799,576,17,180031,0,0,60371
41,Female,High School,Widowed,Unemployed,East,69963,38738,31236,526,25,170857,0,0,82624
50,Male,Master,Married,Healthcare,South,62697,29120,39169,322,36,149438,0,0,72476
41,Male,Bachelor,Widowed,IT,North,57496,31861,26835,363,22,42649,0,0,69493
69,Female,Bachelor,Single,Finance,West,35296,11011,23336,456,52,497998,0,1,45075
28,Male,Bachelor,Married,Unemployed,North,95929,43792,43647,689,13,163000,1,0,96729
66,Male,PhD,Divorced,Finance,West,33452,23748,11288,448,46,91117,0,1,36174
25,Male,Bachelor,Single,Construction,East,45311,26143,26651,662,7,291249,1,1,51742
53,Male,Bachelor,Married,IT,West,25179,13226,20249,763,32,24843,0,0,33093
55,Male,High School,Widowed,Finance,South,58081,25716,34631,698,38,115250,1,0,71498
57,Male,Bachelor,Single,IT,South,52266,23468,26354,704,37,243799,1,0,73321
37,Male,Bachelor,Married,Construction,East,61479,30220,37772,431,16,469186,0,1,72882
52,Female,High School,Single,Education,South,23914,17165,8672,496,37,131000,0,0,29251
65,Male,High School,Divorced,Finance,East,66693,52261,14603,334,45,431555,0,0,90443
42,Female,PhD,Married,Healthcare,West,37888,19676,12932,719,26,221581,0,0,48734
52,Female,Master,Married,IT,North,47764,23723,36559,676,35,111643,1,0,62810
